i,mean05,mean10,mean15,mean20,mean25,mean30,mean35,mean40,mean45,mean50,mean55,mean60,mean65,mean70,mean75,mean80,mean85,mean90,mean95,std05,std10,std15,std20,std25,std30,std35,std40,std45,std50,std55,std60,std65,std70,std75,std80,std85,std90,std95
20.0,0.009432265982190493,0.006715767987880279,0.00334527629186853,0.001280938758297746,0.0004628828815132732,0.0002049273975690072,7.810192303854211e-05,1.7106936130404384e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024846998837911656,0.0011403120627988313,0.0005870797575806512,0.0003020267782969058,0.0001884628297289417,0.0001461415495026661,6.283302675088256e-05,2.8369616975408164e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.0,0.009319489846979537,0.0058778971009515865,0.002757927114189399,0.001225340173686051,0.0004083111957455526,0.00012493528122351226,2.4280500147222365e-05,8.570448713859823e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019362541496794666,0.0013200061542756585,0.0007129021411590908,0.0004164420041309214,0.00012489734168820467,0.00010238898626529851,3.4339966102679306e-05,2.1851792365458187e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.0,0.009347137288361161,0.005086391355552151,0.0025584158360708923,0.0009337195206936999,0.0002446926989061607,8.539578676566982e-05,4.829518014102193e-06,4.245743641998897e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002606775971973624,0.000847722778485306,0.0006078905045390206,0.00026679464328844155,0.00016149473246179744,7.66857932886809e-05,1.8070401752023283e-05,1.588611806043367e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.0,0.007699745382119529,0.005037909235620687,0.0019853480492025483,0.0008330225744207673,0.0002857132737407278,7.935012723036336e-05,4.860503548167591e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001627208939035754,0.0008654523133039384,0.0005839871357969756,0.0003332620873391355,0.00015907841870217427,7.866370708811431e-05,1.8186339004442216e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24.0,0.007148899107956171,0.004276363432690629,0.0017420379660394263,0.00046667293349922877,0.00020277926476441907,2.270093183662317e-05,4.993009786299181e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018769844593309495,0.0006495906985697222,0.0006352534200495761,0.0001884513040461985,0.00016429485142790113,4.9068325864412465e-05,1.868213194914091e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.0,0.006988346143253474,0.004246022536219182,0.0014255647655060317,0.0005096551111096206,0.00010854578856031248,5.100116431480518e-05,0.0,4.3295666103823005e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017492298387170964,0.0011841212582087673,0.00041583725418499885,0.00022555337497500276,8.682657333131687e-05,5.180121163679723e-05,0.0,1.6199754889266753e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26.0,0.005633498025931095,0.003667671870153286,0.001291841019692399,0.0003053641569689638,5.429289790777481e-05,2.3055671863797705e-05,9.730343860396584e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001339348462725701,0.0010793876758961388,0.0004848963615432816,0.00019083697931128072,5.079587774906178e-05,4.952855230211147e-05,2.480777497944963e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27.0,0.007210827034460848,0.003615020756224481,0.000900978436119864,0.0003473286603011336,7.455846387200254e-05,5.676657584014532e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017928248731687304,0.0009224288994804925,0.000303841743942273,0.00023683361223886124,7.877173680739215e-05,2.1240107781414287e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28.0,0.006361422003888198,0.0026136274207691724,0.0009563272680471266,0.00016930415727719114,4.087737903650154e-05,5.687311607802992e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015479785402154167,0.0008419195713207796,0.0002923969490123073,0.0001360329822252797,7.273156218612894e-05,2.127997148822125e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29.0,0.006453259535660915,0.003078857428832558,0.0008524820251807414,0.0002631402177590379,4.0745145547872844e-05,5.643022402798939e-06,4.7693995325988455e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021383107514044287,0.0008735025724839034,0.00039234626106053627,0.00012764486021390553,6.239906138786789e-05,2.111425645716349e-05,1.7845458991624655e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,0.005646364172274342,0.002340862721815559,0.0005664246699205547,8.444382485938425e-05,2.725176285359752e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001996178466629077,0.0007857915575611673,0.0003998848760000467,0.00011864807038298872,4.519414217216691e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31.0,0.0049900247218127225,0.0022246830781443377,0.0006161445849567234,0.0001446231456616031,2.7369644490263534e-05,5.6892530010809585e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017286637831476234,0.0005414891251362054,0.00025993018264204576,0.00013060165867810326,4.53885159403214e-05,2.1287235516720382e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32.0,0.004959827362870287,0.0018357510651835754,0.0004717022780015298,0.00011045265295908527,2.032259335150468e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001689396271885112,0.0005236055223519198,0.00025537806676736595,0.00010318793783360252,4.064709879681734e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33.0,0.005105199118490144,0.001901859768537292,0.0003141907774747273,8.435380699887172e-05,6.8516615279205205e-06,5.687311607802992e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014453958383578702,0.0007644007412381008,0.00022008625558470193,0.00011883292147819524,2.5636569967618648e-05,2.127997148822125e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.0,0.0038720685771465755,0.0012548455228448992,0.0003026880563281478,7.595844156437986e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001137426901980017,0.0006526576105229048,0.00021281915870459612,0.00011141104481688226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.0,0.004447599875951906,0.0013874996935732131,0.00030492931479421105,5.135805302809142e-05,1.348435814455232e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012347945588799167,0.0007539447581178016,0.00025558403656292884,0.00010327440322008772,5.045384825746954e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36.0,0.003940628293176663,0.0013078120318482842,0.00014598267499915795,4.2558970725468894e-05,6.836204539239815e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015436185264202343,0.0006979667133027184,0.00010413672702317107,7.612971050658362e-05,2.557873521174419e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37.0,0.004314379829713003,0.0009666055472816594,0.00020183440322033095,3.3877630355343275e-05,0.0,0.0,4.848484848484849e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012808235556375093,0.0004363195254159888,0.0002236816239877956,7.293744239156268e-05,0.0,0.0,1.8141369147994868e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38.0,0.003838615612068163,0.0012668382347053731,0.00021170365429909355,4.2462130428947984e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012171921775583465,0.0005103062896602529,0.0002442555633439293,6.0058968631832024e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39.0,0.003566105662181666,0.0007819236537280297,0.00014601686524560298,2.5640375187621214e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010578042702311951,0.0004346479753459258,0.00016097426934307454,5.1282686361148636e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.0,0.0030505757809745457,0.0008511623860592011,0.00012192467749731955,1.711481291341302e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012256542310142239,0.0005116517982008599,0.0001120583508736984,4.36359256733587e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.0,0.003293114142063508,0.0006628078657126278,6.757578770856079e-05,8.640055296353896e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013368291782244312,0.00035880566644866624,8.278357669781408e-05,3.232812672173788e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42.0,0.002946298766090173,0.0005596989981257974,4.523187363498268e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008613258381625386,0.0002973154470655618,7.501252851064331e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
